Apple,22/01/2018,177.300003,177.779999,176.600006,177,176.281281,27108600
Apple,23/01/2018,177.300003,179.440002,176.820007,177.039993,176.321106,32689100
Apple,24/01/2018,177.25,177.300003,173.199997,174.220001,173.512573,51105100
Apple,25/01/2018,174.509995,174.949997,170.529999,171.110001,170.415192,41529000
Apple,26/01/2018,172,172,170.059998,171.509995,170.813568,39143000
Apple,29/01/2018,170.160004,170.160004,167.070007,167.960007,167.278,50640400
Apple,30/01/2018,165.529999,167.369995,164.699997,166.970001,166.292007,46048200
Apple,31/01/2018,166.869995,168.440002,166.5,167.429993,166.750137,32478900
Apple,01/02/2018,167.169998,168.619995,166.759995,167.779999,167.098724,47230800
Apple,02/02/2018,166,166.800003,160.100006,160.5,159.848282,86593800
Apple,05/02/2018,159.100006,163.880005,156,156.490005,155.854568,72738500
Apple,06/02/2018,154.830002,163.720001,154,163.029999,162.368011,68243800
Apple,07/02/2018,163.089996,163.399994,159.070007,159.539993,158.892166,51608600
Apple,08/02/2018,160.289993,161,155.029999,155.149994,154.520004,54390500
Apple,09/02/2018,157.070007,157.889999,150.240005,156.410004,156.410004,70672600
Apple,12/02/2018,158.5,163.889999,157.509995,162.710007,162.710007,60819500
Apple,13/02/2018,161.949997,164.75,161.649994,164.339996,164.339996,32549200
Apple,14/02/2018,163.039993,167.539993,162.880005,167.369995,167.369995,40644900
Apple,15/02/2018,169.789993,173.089996,169,172.990005,172.990005,51147200
Apple,16/02/2018,172.360001,174.820007,171.770004,172.429993,172.429993,40176100
Apple,20/02/2018,172.050003,174.259995,171.419998,171.850006,171.850006,33930500
Apple,21/02/2018,172.830002,174.119995,171.009995,171.070007,171.070007,37471600
Apple,22/02/2018,171.800003,173.949997,171.710007,172.5,172.5,30991900
Apple,23/02/2018,173.669998,175.649994,173.539993,175.5,175.5,33812400
Apple,26/02/2018,176.350006,179.389999,176.210007,178.970001,178.970001,38162200
Apple,27/02/2018,179.100006,180.479996,178.160004,178.389999,178.389999,38928100
Apple,28/02/2018,179.259995,180.619995,178.050003,178.119995,178.119995,37782100
Apple,01/03/2018,178.539993,179.779999,172.660004,175,175,48802000
Apple,02/03/2018,172.800003,176.300003,172.449997,176.210007,176.210007,38454000
Apple,05/03/2018,175.210007,177.740005,174.520004,176.820007,176.820007,28401400
Apple,06/03/2018,177.910004,178.25,176.130005,176.669998,176.669998,23788500
Apple,07/03/2018,174.940002,175.850006,174.270004,175.029999,175.029999,31703500
Apple,08/03/2018,175.479996,177.119995,175.070007,176.940002,176.940002,23774100
Apple,09/03/2018,177.960007,180,177.389999,179.979996,179.979996,32185200
Apple,12/03/2018,180.289993,182.389999,180.210007,181.720001,181.720001,32207100
Apple,13/03/2018,182.589996,183.5,179.240005,179.970001,179.970001,31693500
Apple,14/03/2018,180.320007,180.520004,177.809998,178.440002,178.440002,29368400
Apple,15/03/2018,178.5,180.240005,178.070007,178.649994,178.649994,22743800
Apple,16/03/2018,178.649994,179.119995,177.619995,178.020004,178.020004,39404700
Apple,19/03/2018,177.320007,177.470001,173.660004,175.300003,175.300003,33446800
Apple,20/03/2018,175.240005,176.800003,174.940002,175.240005,175.240005,19649400
Apple,21/03/2018,175.039993,175.089996,171.259995,171.270004,171.270004,37054900
Apple,22/03/2018,170,172.679993,168.600006,168.850006,168.850006,41490800
Apple,23/03/2018,168.389999,169.919998,164.940002,164.940002,164.940002,41028800
Apple,26/03/2018,168.070007,173.100006,166.440002,172.770004,172.770004,37541200
Apple,27/03/2018,173.679993,175.149994,166.919998,168.339996,168.339996,40922600
Apple,28/03/2018,167.25,170.020004,165.190002,166.479996,166.479996,41668500
Apple,29/03/2018,167.809998,171.75,166.899994,167.779999,167.779999,38398500
Apple,02/04/2018,166.639999,168.940002,164.470001,166.679993,166.679993,37586800
Apple,03/04/2018,167.639999,168.75,164.880005,168.389999,168.389999,30278000
Apple,04/04/2018,164.880005,172.009995,164.770004,171.610001,171.610001,34605500
Apple,05/04/2018,172.580002,174.229996,172.080002,172.800003,172.800003,26933200
Apple,06/04/2018,170.970001,172.479996,168.199997,168.380005,168.380005,35005300
Apple,09/04/2018,169.880005,173.089996,169.850006,170.050003,170.050003,29017700
Apple,10/04/2018,173,174,171.529999,173.25,173.25,28408600
Apple,11/04/2018,172.229996,173.919998,171.699997,172.440002,172.440002,22431600
Apple,12/04/2018,173.410004,175,173.039993,174.139999,174.139999,22889300
Apple,13/04/2018,174.779999,175.839996,173.850006,174.729996,174.729996,25124300
Apple,16/04/2018,175.029999,176.190002,174.830002,175.820007,175.820007,21578400
Apple,17/04/2018,176.490005,178.940002,176.410004,178.240005,178.240005,26605400
Apple,18/04/2018,177.809998,178.820007,176.880005,177.839996,177.839996,20754500
Apple,19/04/2018,173.759995,175.389999,172.660004,172.800003,172.800003,34808800
Apple,20/04/2018,170.600006,171.220001,165.429993,165.720001,165.720001,64464800
